City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
192,Alto Araguaia,BR,-17.3147,-53.2153,79.41,46,38,4.92,scattered clouds
193,Mandal,IN,25.45,74.5667,77.52,84,1,5.88,clear sky
194,Olinda,BR,-8.0089,-34.8553,78.53,83,75,5.75,broken clouds
195,Anadyr,RU,64.75,177.4833,32.5,100,90,11.01,light snow
196,Beringovskiy,RU,63.05,179.3167,36.09,98,100,6.67,overcast clouds
197,Saint-Philippe,RE,-21.3585,55.7679,69.39,74,45,13.09,scattered clouds
198,Lervik,GB,60.1545,-1.1494,51.8,92,100,31.92,overcast clouds
199,Tuktoyaktuk,CA,69.4541,-133.0374,33.8,100,90,19.57,mist
200,Seoul,KR,37.5683,126.9778,74.77,64,63,4.61,broken clouds
201,Kathmandu,NP,27.7167,85.3167,68.22,100,75,3.44,broken clouds
202,Salihorsk,BY,52.7876,27.5415,42.37,77,65,8.52,broken clouds
203,Constitucion,CL,-35.3333,-72.4167,49.48,54,0,15.9,clear sky
204,Port Blair,IN,11.6667,92.75,77.04,88,90,6.91,overcast clouds
205,Elverum,NO,60.8819,11.5623,50.05,97,100,9.17,light rain
206,Bernay,FR,49.1667,0.6667,56.07,94,100,5.99,light rain
207,Bowen,AU,-20.0167,148.2333,88.02,75,11,13.89,few clouds
208,Mersing,MY,2.4312,103.8405,76.91,94,40,2.3,scattered clouds
209,Manresa,ES,41.725,1.8266,72.48,82,100,1.99,overcast clouds
210,Yagodnoye,RU,62.55,149.6667,32.2,72,7,3.31,clear sky
211,Gonaives,HT,19.45,-72.6833,78.08,81,10,6.13,clear sky
212,Benghazi,LY,32.1167,20.0667,70.11,65,0,10.92,clear sky
213,Carnduff,CA,49.1667,-101.8009,57.18,30,3,7.56,light rain
214,Neiafu,TO,-18.65,-173.9833,75.88,88,75,8.05,broken clouds
215,Nome,US,64.5011,-165.4064,35.17,69,51,18.66,broken clouds
216,Korla,CN,41.7597,86.1469,51.15,40,100,16.6,overcast clouds
217,Kawalu,ID,-7.3817,108.2082,79.29,68,77,4.27,broken clouds
218,Luena,AO,-11.7833,19.9167,60.39,95,96,1.86,overcast clouds
219,Kidal,ML,18.4411,1.4078,83.01,15,11,9.1,few clouds
220,Verkhniy Baskunchak,RU,48.2256,46.7217,44.58,56,0,3.11,clear sky
221,Charlestown,AU,-32.95,151.6667,79.21,54,17,5.01,few clouds
222,Milkovo,RU,54.7167,158.6167,45.86,93,100,6.91,moderate rain
223,San Patricio,US,28.017,-97.5169,82.26,73,100,6.02,overcast clouds
224,Ahipara,NZ,-35.1667,173.1667,64.33,69,100,16.71,light rain
225,Saint-Augustin,CA,51.226,-58.6502,43.61,90,100,10.54,overcast clouds
226,Georgetown,MY,5.4112,100.3354,85.93,82,20,3.0,few clouds
227,Itacarambi,BR,-15.1022,-44.0919,81.88,36,10,2.62,clear sky
228,Berlevag,NO,70.8578,29.0864,53.55,71,75,20.71,broken clouds
229,Gondar,ET,12.6,37.4667,56.91,68,100,2.84,overcast clouds
230,Chapaevsk,RU,52.9813,49.7112,45.61,63,100,3.76,overcast clouds
231,Millbrook,US,32.4799,-86.3619,76.95,82,90,6.91,overcast clouds
232,Udachnyy,RU,66.4167,112.4,35.8,45,84,2.04,broken clouds
233,Grand Gaube,MU,-20.0064,57.6608,71.38,71,57,5.01,broken clouds
234,Kruisfontein,ZA,-34.0033,24.7314,47.88,71,66,12.26,broken clouds
235,Tianpeng,CN,30.9866,103.9393,77.47,79,60,4.23,broken clouds
236,Naze,JP,28.3667,129.4833,83.32,64,0,17.49,clear sky
237,Nantucket,US,41.2835,-70.0995,66.99,85,0,20.42,clear sky
238,Chuy,UY,-33.6971,-53.4616,54.95,85,100,0.56,overcast clouds
239,Tessalit,ML,20.1986,1.0114,86.29,14,97,4.97,overcast clouds
240,Sept-Iles,CA,50.2001,-66.3821,43.32,92,75,4.61,broken clouds
241,Kloulklubed,PW,7.0419,134.2556,83.68,75,68,10.02,broken clouds
242,Zhanakorgan,KZ,43.9098,67.2495,43.86,41,0,8.84,clear sky
243,Bitkine,TD,11.9801,18.2138,77.95,68,49,7.52,scattered clouds
244,The Valley,AI,18.217,-63.0578,84.09,73,71,18.39,broken clouds
245,Yakeshi,CN,49.2833,120.7333,34.77,99,100,16.75,light rain
246,Saint-Georges,GD,12.0564,-61.7485,83.88,79,20,13.8,few clouds
247,Vila Franca Do Campo,PT,37.7167,-25.4333,73.2,92,92,7.16,overcast clouds
248,Merrill,US,45.1805,-89.6835,66.04,97,40,0.0,scattered clouds
249,Olafsvik,IS,64.8945,-23.7142,40.14,80,100,31.99,overcast clouds
250,Comodoro Rivadavia,AR,-45.8667,-67.5,48.06,46,0,5.75,clear sky
251,Ust-Kishert,RU,57.3654,57.2495,31.46,90,59,5.19,broken clouds
252,Altay,CN,47.8667,88.1167,32.13,62,91,1.72,overcast clouds
253,Ahuimanu,US,21.4447,-157.8378,83.79,65,18,13.8,few clouds
254,Gizo,SB,-8.103,156.8419,83.19,75,23,5.3,light rain
255,Paka,MY,4.6374,103.4368,78.73,89,40,0.0,scattered clouds
256,Korhogo,CI,9.45,-5.6333,69.37,97,82,4.23,broken clouds
257,Jacareacanga,BR,-6.2222,-57.7528,72.0,98,100,2.15,overcast clouds
258,Necochea,AR,-38.5473,-58.7368,47.03,87,42,17.83,scattered clouds
259,Madimba,TZ,-10.4,40.3333,72.57,82,6,6.73,clear sky
260,Choya,RU,52.0108,86.5467,34.92,83,100,1.3,overcast clouds
261,Trelew,AR,-43.249,-65.3051,43.41,41,2,5.84,clear sky
262,Kashi,CN,39.4547,75.9797,65.41,19,0,13.42,clear sky
263,Smithers,CA,54.7804,-127.1743,46.72,57,40,11.5,scattered clouds
