City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
498,Otane,NZ,61.39,overcast clouds,-39.8833,176.6333,Ludlow Farmstay
499,Bennington,US,63.01,scattered clouds,42.8781,-73.1968,Best Western Bennington
507,Xining,CN,56.05,overcast clouds,36.6167,101.7667,Super Leisure Hotel
509,The Pas,CA,53.62,clear sky,53.8251,-101.2541,Wescana Inn
522,Upington,ZA,50.38,clear sky,-28.4478,21.2561,River Place Manor
525,Yinchuan,CN,68.47,overcast clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
528,Port Hardy,CA,51.98,broken clouds,50.6996,-127.4199,Airport Inn
530,Makokou,GA,68.45,overcast clouds,0.5738,12.8642,Motel des voyageurs
531,Banepa,NP,66.52,broken clouds,27.6298,85.5214,Dhulikhel Lodge Resort
532,Huarmey,PE,62.6,scattered clouds,-10.0681,-78.1522,Hotel Miramar
535,Sarahan,IN,59.31,clear sky,31.5167,77.8,OYO 39328 Bushahr Heights
542,Taltal,CL,60.39,clear sky,-25.4,-70.4833,Residencial Karime
544,Marquette,US,62.76,broken clouds,46.5333,-87.6335,Al Quaal Lodge
547,Mackenzie,CA,50.22,overcast clouds,55.2999,-123.1698,Hilton Shop
555,Chase,CA,59.14,overcast clouds,50.8165,-119.6857,Chase Country Inn Motel
556,Caceres,ES,62.8,broken clouds,39.522,-6.3748,Ahc Hoteles
557,Tlacotepec,MX,63.25,overcast clouds,20.0667,-97.8667,RANCHO LA ILUSION
558,Port Lincoln,AU,60.48,few clouds,-34.7333,135.8667,Port Lincoln Hotel
560,Zyrardow,PL,53.8,broken clouds,52.0488,20.446,Aparthotel Stara Przędzalnia
569,Nokaneng,BW,61.32,clear sky,-19.6667,22.2667,
579,Kaoma,ZM,67.42,overcast clouds,-14.7833,24.8,KAOMA AIRPORT
582,Miles City,US,64.51,few clouds,46.4083,-105.8406,FairBridge Inn & Suites Miles City
589,Roald,NO,54.34,overcast clouds,62.5833,6.1333,Flem Cabins
591,Bayan,CN,54.3,overcast clouds,46.0833,127.4,Wanhao Inn
592,Abu Samrah,SY,67.33,clear sky,35.3029,37.1841,
596,Tocopilla,CL,62.01,few clouds,-22.092,-70.1979,Hotel Galvarino
602,Vigrestad,NO,57.0,moderate rain,58.5667,5.7,Brusand Camping
605,Cerqueira Cesar,BR,64.65,overcast clouds,-23.0356,-49.1661,Pousada São Jorge
606,Sorland,NO,52.97,overcast clouds,67.667,12.6934,Sjybrygga fiskecamp
607,Saint-Pierre,RE,69.48,clear sky,-21.3393,55.4781,Lindsey Hôtel
609,Terra Boa,BR,64.0,very heavy rain,-23.7681,-52.4442,Hotel do Gaúcho
613,Lircay,PE,51.73,scattered clouds,-12.9896,-74.7205,Hostal Escobar
616,Khor,RU,54.43,light rain,47.8861,134.9464,Gostinitsa Deksi
619,Rocha,UY,53.53,light rain,-34.4833,-54.3333,Beleza Pura B&B
620,Broome,US,61.99,overcast clouds,42.2506,-75.833,Chenango Valley State Park
629,Nykoping,SE,56.79,broken clouds,58.753,17.0079,Clarion Collection Hotel Kompaniet
631,Antalaha,MG,67.73,broken clouds,-14.9003,50.2788,Hotel Vitasoa
634,Rioblanco,CO,62.4,overcast clouds,3.5308,-75.6806,hotel en tolima colombia
651,Pombia,IT,62.56,scattered clouds,45.653,8.6336,Albergo Fontana
652,North Bend,US,58.86,overcast clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
653,Alassio,IT,68.58,scattered clouds,44.0039,8.1671,Hotel Toscana
654,Artyom,AZ,60.94,overcast clouds,40.4723,50.333,Merdan Respect
660,Sistranda,NO,53.91,overcast clouds,63.7256,8.834,Hotell Frøya
661,Ngunguru,NZ,66.16,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
667,Hammerfest,NO,52.25,clear sky,70.6634,23.6821,Skytterhuset
673,La Ronge,CA,53.85,overcast clouds,55.1001,-105.2842,Northland Motor Hotel
678,Turayf,SA,68.25,clear sky,31.6725,38.6637,Turaif
681,Lasa,IT,55.02,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
682,Abnub,EG,68.22,clear sky,27.2696,31.1511,Romany Adly Gad
685,Khani,GE,53.17,light rain,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
688,Salaverry,PE,59.38,broken clouds,-8.2333,-78.9667,ELACORP Alojamiento
